X,Y,FID,Firehouse,Lat,Long,FH_Short,Address,Battalion
-83.054081509554,42.3378751764982,1,ENGINE 01,-83.05408151,42.3378751765,E-1,"111 W Montcalm Street, Detroit, Michigan, 48201",01
-83.0735885223924,42.3647894868454,2,ENGINE 17,-83.0735885225,42.3647894864,E-17,"6100 Second Avenue, Detroit, Michigan, 48202",01
-83.0363566328523,42.3755317349017,3,ENGINE 23,-83.0363566329,42.375531735,E-23,"1818 E Grand Boulevard, Detroit, Michigan, 48211",06
-83.0933526774841,42.3113641428409,4,ENGINE 27,-83.0933526778,42.3113641431,E-27,"4700 W Fort Street, Detroit, Michigan, 48209",07
-83.1097865962744,42.2941970301688,5,ENGINE 29,-83.109786596,42.2941970298,E-29,"7600 W Jefferson Avenue, Detroit, Michigan, 48209",07
-83.1702425090845,42.4127136868872,6,ENGINE 30,-83.1702425094,42.4127136865,E-30,"16543 Meyers Road, Detroit, Michigan, 48235",04
-83.1109409885357,42.3484010530662,7,ENGINE 31,-83.1109409886,42.3484010533,E-31,"1697 W Grand Boulevard, Detroit, Michigan, 48208",05
-82.9667407266032,42.3682129288836,8,ENGINE 32,-82.9667407269,42.368212929,E-32,"11740 E Jefferson Avenue, Detroit, Michigan, 48214",06
-83.1268514452379,42.3004775733814,9,ENGINE 33,-83.126851445,42.3004775734,E-33,"1041 Lawndale Street, Detroit, Michigan, 48209",07
-83.1320596098631,42.3464585624128,10,ENGINE 34,-83.1320596102,42.3464585626,E-34,"6345 Livernois Avenue, Detroit, Michigan, 48210",02
-83.0808673958136,42.385357634947,11,ENGINE 35,-83.0808673961,42.3853576347,E-35,"111 Kenilworth Street, Detroit, Michigan, 48202",05
-83.127579864619,42.3175579356503,12,ENGINE 37,-83.1275798646,42.3175579356,E-37,"2820 Central Street, Detroit, Michigan, 48209",07
-83.1004851367796,42.3722415148341,13,ENGINE 39,-83.1004851368,42.3722415148,E-39,"8700 14th Street, Detroit, Michigan, 48206",05
-83.1338337878989,42.3934380093567,14,ENGINE 40,-83.1338337882,42.3934380093,E-40,"13939 Dexter Avenue, Detroit, Michigan, 48238",08
-83.0032437848727,42.3799308748101,15,ENGINE 41,-83.0032437847,42.3799308747,E-41,"5000 Rohns Street, Detroit, Michigan, 48213",06
-83.1393568924066,42.3668065321958,16,ENGINE 42,-83.139356892,42.3668065321,E-42,"6324 W Chicago Avenue, Detroit, Michigan, 48204",02
-83.1031279744764,42.4320009917524,17,ENGINE 44,-83.1031279741,42.4320009917,E-44,"35 W 7 Mile Road, Detroit, Michigan, 48203",08
-83.003699562185,42.3991119103864,18,ENGINE 46,-83.003699562,42.3991119108,E-46,"10101 Knodell Street, Detroit, Michigan, 48213",03
-83.1588196109362,42.2730148753363,19,ENGINE 48,-83.1588196113,42.2730148754,E-48,"2300 S Fort Street, Detroit, Michigan, 48217",07
-82.9858926538229,42.4206739262607,20,ENGINE 50,-82.9858926534,42.4206739259,E-50,"12985 Houston Whittier Street, Detroit, Michigan, 48205",03
-83.1407904962844,42.4250386014504,21,ENGINE 51,-83.1407904963,42.4250386016,E-51,"18236 Livernois Avenue, Detroit, Michigan, 48221",08
-82.9563244261313,42.3969762210758,22,ENGINE 52,-82.9563244261,42.3969762212,E-52,"5029 Manistique Street, Detroit, Michigan, 48224",06
-83.1991160905351,42.4011081292368,23,ENGINE 53,-83.1991160901,42.4011081293,E-53,"15127 Greenfield Road, Detroit, Michigan, 48227",04
-83.2493135069128,42.4134980189185,24,ENGINE 54,-83.2493135071,42.4134980189,E-54,"16825 Trinity Street, Detroit, Michigan, 48219",04
-83.2173874573652,42.3581469359324,25,ENGINE 55,-83.2173874574,42.3581469355,E-55,"18140 Joy Road, Detroit, Michigan, 48228",02
-83.0632233258958,42.4299596934851,26,ENGINE 56,-83.063223326,42.4299596937,E-56,"18601 Ryan Road, Detroit, Michigan, 48234",08
-83.2462816485792,42.3870282146804,27,ENGINE 57,-83.246281649,42.3870282144,E-57,"13960 Burt Road, Detroit, Michigan, 48223",02
-82.954673994809,42.4173136777841,28,ENGINE 58,-82.9546739946,42.4173136774,E-58,"10801 Whittier Avenue, Detroit, Michigan, 48224",03
-83.218200224161,42.4230777943048,29,ENGINE 59,-83.2182002243,42.4230777941,E-59,"17800 Curtis Street, Detroit, Michigan, 48235",04
-83.0419839804763,42.3501900852043,30,ENGINE 06,-83.0419839807,42.3501900853,E-6,"3050 Russell Street, Detroit, Michigan, 48207",01
-83.0052543362186,42.440256909329,31,ENGINE 60,-83.0052543365,42.4402569094,E-60,"19701 Hoover Street, Detroit, Michigan, 48205",03
-83.0131382384389,42.3471456813282,32,ENGINE 09,-83.0131382388,42.3471456814,E-9,"3737 E Lafayette Street, Detroit, Michigan, 48207",01
-83.079991758313,42.3142365459798,33,FIREBOAT,-83.0799917579,42.314236546,FB,"40 24th Street, Detroit, Michigan, 48216",07
-82.9922965525438,42.3627485114347,34,LADDER 14,-82.9922965526,42.3627485112,L-14,"2200 Crane Street, Detroit, Michigan, 48214",06
-82.9940131730694,42.3894806425177,35,LADDER 19,-82.9940131729,42.3894806429,L-19,"10645 Shoemaker Street, Detroit, Michigan, 48213",03
-83.0636084659579,42.3488943464969,36,LADDER 20,-83.0636084661,42.3488943465,L-20,"433 W Alexandrine Street, Detroit, Michigan, 48201",01
-83.1337574210681,42.33856901245,37,LADDER 22,-83.1337574207,42.3385690127,L-22,"6830 McGraw Avenue, Detroit, Michigan, 48210",02
-83.0387546400146,42.4226877304545,38,LADDER 30,-83.0387546397,42.4226877301,L-30,"17475 Mount Elliott Street, Detroit, Michigan, 48212",08
-83.0178914774097,42.4043742618628,40,RTC,-83.0178914774,42.4043742621,RTC,"10200 Erwin Avenue, Detroit, Michigan, 48234",03
